Date,Site,Depth (m),Temp (degC),SpeCond(uS/cm),Chla (ug/L),Turb (FTU),DO (mg/L)
Mar-18-2019,UA01,-0.518,10.9387,233.3824,4.2043,11.118,10.7842
Mar-18-2019,UA01,-0.585,10.9352,233.4042,4.4753,11.272,10.7935
Mar-18-2019,UA01,-0.651,10.9335,233.3973,4.641,11.26,10.7987
Mar-18-2019,UA01,-0.717,10.9319,233.4335,4.7184,10.985,10.796
Mar-18-2019,UA01,-0.785,10.9292,233.4137,4.8404,10.985,10.7938
Mar-18-2019,UA01,-0.85,10.9268,233.4009,5.0127,11.158,10.7885
Mar-18-2019,UA01,-0.909,10.9257,233.4585,5.1674,11.662,10.78
Mar-18-2019,UA01,-0.969,10.9248,233.4452,5.3253,11.249,10.7753
Mar-18-2019,UA01,-1.04,10.9241,233.3777,5.5321,10.852,10.7706
Mar-18-2019,UA01,-1.114,10.924,233.4076,5.7351,11.266,10.7652
Mar-18-2019,UA01,-1.18,10.9237,233.4229,5.8636,11.553,10.7613
Mar-18-2019,UA01,-1.239,10.9231,233.3834,5.9343,11.346,10.7572
Mar-18-2019,UA01,-1.299,10.9222,233.3306,5.9705,10.974,10.7539
Mar-18-2019,UA01,-1.359,10.9196,233.3342,5.9925,11.254,10.7507
Mar-18-2019,UA01,-1.418,10.9157,233.414,6.0099,11.513,10.7473
Mar-18-2019,UA01,-1.483,10.9124,233.395,6.0531,11.335,10.7416
Mar-18-2019,UA01,-1.558,10.9086,233.3927,6.1497,11.151,10.7342
Mar-18-2019,UA01,-1.636,10.9037,233.4349,6.2347,11.181,10.7285
Mar-18-2019,UA01,-1.704,10.9002,233.396,6.2497,11.314,10.7219
Mar-18-2019,UA01,-1.766,10.8988,233.3915,6.1966,11.338,10.7181
Mar-18-2019,UA01,-1.832,10.8985,233.4014,6.1974,11.128,10.7118
Mar-18-2019,UA01,-1.904,10.8983,233.4487,6.2281,10.991,10.702
Mar-18-2019,UA01,-1.97,10.9,233.4576,6.1641,11.444,10.6962
Mar-18-2019,UA01,-2.031,10.9013,233.4396,6.0954,11.455,10.7006
Mar-18-2019,UA01,-2.096,10.8991,233.5087,6.0849,11.131,10.7039
Mar-18-2019,UA01,-2.167,10.8954,233.4926,6.0787,11.816,10.7009
Mar-18-2019,UA01,-2.236,10.8905,233.4436,6.0786,12.427,10.7036
Mar-18-2019,UA01,-2.298,10.8858,233.3666,6.0847,11.921,10.7039
Mar-18-2019,UA01,-2.354,10.879,233.2706,6.0794,11.381,10.7037
Mar-18-2019,UA01,-2.402,10.8685,233.2319,6.0694,10.878,10.6961
Mar-18-2019,UA01,-2.445,10.8599,233.2298,6.0908,10.941,10.6852
Mar-18-2019,UA01,-2.485,10.8538,233.2984,6.1168,11.317,10.6691
