date,height(m),temperature(C)
3/23/2019 13:30,10.7,10.49
3/23/2019 13:30,10,10.48
3/23/2019 13:30,9,10.46
3/23/2019 13:30,8,10.44
3/23/2019 13:30,7,10.42
3/23/2019 13:30,6,10.4
3/23/2019 13:30,5,10.4
3/23/2019 13:30,4,10.39
3/23/2019 13:30,3,10.38
3/23/2019 13:30,2,10.35
3/23/2019 13:30,1,10.32
3/23/2019 13:30,0.5,10.32
3/23/2019 14:30,10.7,10.44
3/23/2019 14:30,10,10.42
3/23/2019 14:30,9,10.38
3/23/2019 14:30,8,10.35
3/23/2019 14:30,7,10.31
3/23/2019 14:30,6,10.3
3/23/2019 14:30,5,10.3
3/23/2019 14:30,4,10.31
3/23/2019 14:30,3,10.3
3/23/2019 14:30,2,10.3
3/23/2019 14:30,1,10.3
3/23/2019 14:30,0.5,10.28
3/23/2019 15:30,10.7,10.45
3/23/2019 15:30,10,10.42
3/23/2019 15:30,9,10.37
3/23/2019 15:30,8,10.33
3/23/2019 15:30,7,10.28
3/23/2019 15:30,6,10.27
3/23/2019 15:30,5,10.27
3/23/2019 15:30,4,10.26
3/23/2019 15:30,3,10.26
3/23/2019 15:30,2,10.26
3/23/2019 15:30,1,10.26
3/23/2019 15:30,0.5,10.26
3/23/2019 16:30,10.68,10.55
3/23/2019 16:30,10,10.5
3/23/2019 16:30,9,10.44
3/23/2019 16:30,8,10.37
3/23/2019 16:30,7,10.3
3/23/2019 16:30,6,10.26
3/23/2019 16:30,5,10.25
3/23/2019 16:30,4,10.24
3/23/2019 16:30,3,10.24
3/23/2019 16:30,2,10.24
3/23/2019 16:30,1,10.24
3/23/2019 16:30,0.5,10.24
3/23/2019 17:30,10.69,11.08
3/23/2019 17:30,10,10.95
3/23/2019 17:30,9,10.77
3/23/2019 17:30,8,10.58
3/23/2019 17:30,7,10.4
3/23/2019 17:30,6,10.34
3/23/2019 17:30,5,10.3
3/23/2019 17:30,4,10.3
3/23/2019 17:30,3,10.28
3/23/2019 17:30,2,10.27
3/23/2019 17:30,1,10.25
3/23/2019 17:30,0.5,10.24
3/23/2019 18:30,10.68,11.39
3/23/2019 18:30,10,11.21
3/23/2019 18:30,9,10.96
3/23/2019 18:30,8,10.7
3/23/2019 18:30,7,10.44
3/23/2019 18:30,6,10.4
3/23/2019 18:30,5,10.4
3/23/2019 18:30,4,10.39
3/23/2019 18:30,3,10.37
3/23/2019 18:30,2,10.36
3/23/2019 18:30,1,10.3
3/23/2019 18:30,0.5,10.26
3/23/2019 19:30,10.68,11.28
3/23/2019 19:30,10,11.17
3/23/2019 19:30,9,11.0
3/23/2019 19:30,8,10.83
3/23/2019 19:30,7,10.66
3/23/2019 19:30,6,10.51
3/23/2019 19:30,5,10.45
3/23/2019 19:30,4,10.43
3/23/2019 19:30,3,10.39
3/23/2019 19:30,2,10.37
3/23/2019 19:30,1,10.31
3/23/2019 19:30,0.5,10.24
3/23/2019 20:30,10.67,11.27
3/23/2019 20:30,10,11.19
3/23/2019 20:30,9,11.08
3/23/2019 20:30,8,10.96
3/23/2019 20:30,7,10.85
3/23/2019 20:30,6,10.79
3/23/2019 20:30,5,10.7
3/23/2019 20:30,4,10.64
3/23/2019 20:30,3,10.6
3/23/2019 20:30,2,10.58
3/23/2019 20:30,1,10.49
3/23/2019 20:30,0.5,10.41
3/23/2019 21:30,10.67,11.59
3/23/2019 21:30,10,11.51
3/23/2019 21:30,9,11.39
3/23/2019 21:30,8,11.26
3/23/2019 21:30,7,11.14
3/23/2019 21:30,6,10.85
3/23/2019 21:30,5,10.62
3/23/2019 21:30,4,10.55
3/23/2019 21:30,3,10.51
3/23/2019 21:30,2,10.47
3/23/2019 21:30,1,10.42
3/23/2019 21:30,0.5,10.41
3/23/2019 22:30,10.67,11.24
3/23/2019 22:30,10,11.23
3/23/2019 22:30,9,11.23
3/23/2019 22:30,8,11.22
3/23/2019 22:30,7,11.21
3/23/2019 22:30,6,10.68
3/23/2019 22:30,5,10.55
3/23/2019 22:30,4,10.54
3/23/2019 22:30,3,10.48
3/23/2019 22:30,2,10.4
3/23/2019 22:30,1,10.35
3/23/2019 22:30,0.5,10.3
3/23/2019 23:30,10.67,11.28
3/23/2019 23:30,10,11.2
3/23/2019 23:30,9,11.08
3/23/2019 23:30,8,10.96
3/23/2019 23:30,7,10.84
3/23/2019 23:30,6,10.84
3/23/2019 23:30,5,10.85
3/23/2019 23:30,4,10.87
3/23/2019 23:30,3,10.47
3/23/2019 23:30,2,10.32
3/23/2019 23:30,1,10.25
3/23/2019 23:30,0.5,10.24
3/24/2019 0:30,10.68,11.05
3/24/2019 0:30,10,11.05
3/24/2019 0:30,9,11.05
3/24/2019 0:30,8,11.05
3/24/2019 0:30,7,11.05
3/24/2019 0:30,6,10.95
3/24/2019 0:30,5,10.84
3/24/2019 0:30,4,10.81
3/24/2019 0:30,3,10.66
3/24/2019 0:30,2,10.49
3/24/2019 0:30,1,10.33
3/24/2019 0:30,0.5,10.3
3/24/2019 1:30,10.68,11.48
3/24/2019 1:30,10,11.4
3/24/2019 1:30,9,11.28
3/24/2019 1:30,8,11.16
3/24/2019 1:30,7,11.04
3/24/2019 1:30,6,11.07
3/24/2019 1:30,5,10.98
3/24/2019 1:30,4,10.89
3/24/2019 1:30,3,10.81
3/24/2019 1:30,2,10.8
3/24/2019 1:30,1,10.33
3/24/2019 1:30,0.5,10.33
3/24/2019 2:30,10.68,11.14
3/24/2019 2:30,10,11.14
