doy = UTC, AirtT = degC, RH = %, WS = m/s, WDir = deg, atmP = kPa, SWin = W/m2, Rain = mm
22-Mar-2019 19:00:001,7.8,91,0.447,225,96.5038,88,0.01
22-Mar-2019 20:00:001,8.6,92,0.447,247.5,96.5072,106,0.01
22-Mar-2019 21:00:001,8.7,93,0.8941,67.5,96.4767,83,0.03
22-Mar-2019 22:00:001,8.7,94,1.3411,67.5,96.497,82,0.18
22-Mar-2019 23:00:001,9.3,94,2.2352,90,96.3887,120,0.12
23-Mar-2019 00:00:001,9.8,93,0.8941,90,96.3277,84,0
23-Mar-2019 01:00:001,9.6,94,0.8941,67.5,96.348,38,0.06
23-Mar-2019 02:00:001,9.9,95,0.8941,90,96.3413,59,0.06
23-Mar-2019 03:00:001,9.8,95,0.8941,67.5,96.3345,18,0.07
23-Mar-2019 04:00:001,9.8,96,0.8941,67.5,96.3514,0,0.01
23-Mar-2019 05:00:001,9.8,96,0.447,90,96.3683,0,0.01
23-Mar-2019 06:00:001,9.9,96,0,90,96.3988,0,0
23-Mar-2019 07:00:001,9.9,95,0,112.5,96.4191,0,0
23-Mar-2019 08:00:001,10,95,0,90,96.4293,0,0
23-Mar-2019 09:00:001,10,96,0,90,96.3988,0,0
23-Mar-2019 10:00:001,9.7,96,0,90,96.3582,0,0.01
23-Mar-2019 11:00:001,9.6,96,0.447,225,96.3209,0,0
23-Mar-2019 12:00:001,9.6,93,0.447,247.5,96.3243,0,0
23-Mar-2019 13:00:001,8.7,88,0.8941,225,96.365,0,0
23-Mar-2019 14:00:001,7.9,86,1.3411,247.5,96.409,0,0
23-Mar-2019 15:00:001,5.8,93,0.447,135,96.4361,0,0
23-Mar-2019 16:00:001,5.6,93,0.447,157.5,96.5004,16,0
23-Mar-2019 17:00:001,8.3,90,0.447,135,96.5478,138,0
23-Mar-2019 18:00:001,9.2,80,0.447,337.5,96.5546,262,0
23-Mar-2019 19:00:001,10.4,73,0.447,292.5,96.5851,460,0
23-Mar-2019 20:00:001,11.4,64,0.8941,270,96.5851,479,0
23-Mar-2019 21:00:001,12.5,58,2.2352,292.5,96.6088,833,0
23-Mar-2019 22:00:001,12.4,59,3.5763,270,96.5851,444,0
23-Mar-2019 23:00:001,12.4,54,4.4704,270,96.5783,513,0
24-Mar-2019 00:00:001,12.2,59,4.0234,270,96.5512,398,0
24-Mar-2019 01:00:001,12.6,63,4.0234,292.5,96.5512,488,0
24-Mar-2019 02:00:001,12.7,59,3.5763,292.5,96.5444,357,0
24-Mar-2019 03:00:001,12.2,63,3.1293,270,96.5817,131,0
24-Mar-2019 04:00:001,10.9,69,3.1293,270,96.6122,7,0
24-Mar-2019 05:00:001,9.7,71,1.7882,270,96.6257,0,0
24-Mar-2019 06:00:001,6.8,81,0.447,135,96.6901,0,0
24-Mar-2019 07:00:001,5.6,87,0.447,135,96.7612,0,0
24-Mar-2019 08:00:001,4.7,89,0.447,135,96.7442,0,0
24-Mar-2019 09:00:001,4.2,90,0.447,135,96.751,0,0
24-Mar-2019 10:00:001,3.8,92,0,112.5,96.6765,0,0
24-Mar-2019 11:00:001,3.2,91,0,157.5,96.6968,0,0
24-Mar-2019 12:00:001,2.4,93,0.447,90,96.7104,0,0
24-Mar-2019 13:00:001,2.9,95,0,157.5,96.6867,0,0
24-Mar-2019 14:00:001,2.4,93,0.447,180,96.7171,0,0
24-Mar-2019 15:00:001,1.8,95,0.447,90,96.7442,0,0
24-Mar-2019 16:00:001,3.1,95,0.447,135,96.7544,22,0
24-Mar-2019 17:00:001,6.7,89,0,225,96.7544,150,0
24-Mar-2019 18:00:001,8.2,86,0.447,315,96.7815,283,0
24-Mar-2019 19:00:001,9.2,84,1.3411,0,96.7476,418,0
24-Mar-2019 20:00:001,12.9,68,2.2352,67.5,96.7171,563,0
24-Mar-2019 21:00:001,13.7,63,2.6822,67.5,96.6663,531,0
24-Mar-2019 22:00:001,14.8,60,2.6822,67.5,96.6189,667,0
24-Mar-2019 23:00:001,15.8,50,2.6822,90,96.5309,531,0
25-Mar-2019 00:00:001,15.7,48,2.6822,90,96.5038,425,0
25-Mar-2019 01:00:001,16.2,54,2.6822,90,96.4801,431,0
25-Mar-2019 02:00:001,14.1,55,1.3411,90,96.4598,83,0
25-Mar-2019 03:00:001,13.3,55,1.3411,135,96.453,54,0
25-Mar-2019 04:00:001,11.7,62,0.8941,135,96.4327,6,0
25-Mar-2019 05:00:001,11.7,70,0.447,135,96.3988,0,0
25-Mar-2019 06:00:001,11.6,70,2.2352,90,96.3988,0,0
25-Mar-2019 07:00:001,11,70,0.8941,90,96.4327,0,0
25-Mar-2019 08:00:001,11.2,73,0.447,90,96.3751,0,0
25-Mar-2019 09:00:001,10.9,71,0.447,90,96.3006,0,0
25-Mar-2019 10:00:001,10.8,70,0.447,135,96.1923,0,0
25-Mar-2019 11:00:001,11,70,0.8941,90,96.1076,0,0
25-Mar-2019 12:00:001,10.4,72,0.8941,90,96.1008,0,0
25-Mar-2019 13:00:001,10.2,70,0.8941,90,95.9281,0,0
25-Mar-2019 14:00:001,9.9,75,1.7882,90,95.9349,0,0
25-Mar-2019 15:00:001,8.8,73,0.8941,135,95.9925,0,0.01
25-Mar-2019 16:00:001,6.9,85,1.3411,90,96.0399,1,0.04
25-Mar-2019 17:00:001,7,87,1.3411,90,95.9992,22,0.05
25-Mar-2019 18:00:001,8.2,88,0.447,67.5,95.9552,42,0.05
25-Mar-2019 19:00:001,9.2,88,1.3411,292.5,96.1279,93,0.08
