Date,Height (m),Height (m),Height (m),Max Height
Hourly data,4.8,2,0.5,(m)
3/23/2019 13:30,9.43,9.40,9.34,10.70
3/23/2019 14:30,9.37,9.35,9.37,10.70
3/23/2019 15:30,9.31,9.22,9.27,10.70
3/23/2019 16:30,9.26,9.18,9.21,10.68
3/23/2019 17:30,9.33,9.23,9.25,10.69
3/23/2019 18:30,9.13,8.91,9.07,10.68
3/23/2019 19:30,9.07,8.81,9.10,10.68
3/23/2019 20:30,9.39,9.17,9.09,10.67
3/23/2019 21:30,9.15,9.12,9.07,10.67
3/23/2019 22:30,9.02,9.01,8.98,10.67
3/23/2019 23:30,9.05,9.02,9.04,10.67
3/24/2019 0:30,9.33,9.07,9.21,10.68
3/24/2019 1:30,9.30,9.24,8.97,10.68
3/24/2019 2:30,9.27,9.20,8.81,10.68
3/24/2019 3:30,9.25,9.21,8.98,10.69
3/24/2019 4:30,9.24,9.19,9.14,10.69
3/24/2019 5:30,9.23,9.20,9.18,10.69
3/24/2019 6:30,9.21,9.19,8.57,10.67
3/24/2019 7:30,9.17,9.06,8.91,10.66
3/24/2019 8:30,9.20,9.24,8.85,10.66
3/24/2019 9:30,9.22,9.15,9.13,10.66
3/24/2019 10:30,9.20,9.20,8.98,10.66
3/24/2019 11:30,9.22,9.13,9.21,10.66
3/24/2019 12:30,9.22,9.11,8.97,10.66
3/24/2019 13:30,9.23,9.16,8.94,10.66
3/24/2019 14:30,9.22,9.18,8.85,10.66
3/24/2019 15:30,9.22,9.16,8.85,10.66
3/24/2019 16:30,9.22,9.19,9.08,10.65
3/24/2019 17:30,9.24,9.24,9.10,10.64
3/24/2019 18:30,9.24,9.22,8.63,10.64
3/24/2019 19:30,9.29,9.23,8.54,10.63
3/24/2019 20:30,9.29,9.19,8.66,10.64
3/24/2019 21:30,9.29,9.13,8.55,10.64
3/24/2019 22:30,9.29,9.15,8.52,10.64
3/24/2019 23:30,9.33,9.12,8.37,10.65
3/25/2019 0:30,9.30,9.14,8.37,10.63
3/25/2019 1:30,9.33,9.13,8.30,10.65
3/25/2019 2:30,9.25,8.99,8.27,10.65
3/25/2019 3:30,9.25,9.08,8.38,10.64
3/25/2019 4:30,9.30,9.23,8.60,10.65
3/25/2019 5:30,9.22,9.14,8.87,10.64
3/25/2019 6:30,9.21,9.19,8.75,10.63
3/25/2019 7:30,9.21,9.19,9.00,10.63
3/25/2019 8:30,9.19,9.17,9.14,10.63
3/25/2019 9:30,9.20,9.11,9.16,10.62
3/25/2019 10:30,9.20,9.18,9.15,10.63
3/25/2019 11:30,9.19,9.16,9.18,10.62
3/25/2019 12:30,9.21,9.19,9.22,10.63
3/25/2019 13:30,9.24,9.22,9.26,10.64
3/25/2019 14:30,9.30,9.29,9.32,10.66
3/25/2019 15:30,9.35,9.34,9.36,10.64
3/25/2019 16:30,9.39,9.39,9.38,10.66
3/25/2019 17:30,9.42,9.39,9.43,10.64
3/25/2019 18:30,9.43,9.41,9.45,10.65
3/25/2019 19:30,9.42,9.40,9.41,10.64
3/25/2019 20:30,9.44,9.42,9.41,10.63
3/25/2019 21:30,9.43,9.34,9.36,10.65
3/25/2019 22:30,9.51,9.39,9.35,10.63
3/25/2019 23:30,9.56,9.41,9.39,10.64
3/26/2019 0:30,9.69,9.44,9.39,10.64
3/26/2019 1:30,9.62,9.49,9.45,10.64
3/26/2019 2:30,9.58,9.49,9.50,10.65
3/26/2019 3:30,9.56,9.54,9.55,10.65
3/26/2019 4:30,9.54,9.52,9.53,10.64
3/26/2019 5:30,9.54,9.52,9.55,10.64
3/26/2019 6:30,9.51,9.51,9.51,10.64
3/26/2019 7:30,9.52,9.50,9.48,10.63
3/26/2019 8:30,9.53,9.51,9.53,10.63
3/26/2019 9:30,9.53,9.51,9.51,10.63
3/26/2019 10:30,9.53,9.49,9.49,10.63
3/26/2019 11:30,9.51,9.48,9.48,10.63
3/26/2019 12:30,9.51,9.49,9.48,10.63
3/26/2019 13:30,9.48,9.45,9.46,10.63
3/26/2019 14:30,9.45,9.43,9.43,10.63
3/26/2019 15:30,9.47,9.42,9.37,10.63
3/26/2019 16:30,9.48,9.46,9.43,10.63
3/26/2019 17:30,9.47,9.46,9.42,10.62
3/26/2019 18:30,9.47,9.47,9.43,10.61
3/26/2019 19:30,9.46,9.46,9.40,10.61
3/26/2019 20:30,9.47,9.44,9.34,10.61
3/26/2019 21:30,9.46,9.42,9.29,10.61
3/26/2019 22:30,9.48,9.44,9.27,10.61
3/26/2019 23:30,9.46,9.41,9.24,10.61
3/27/2019 0:30,9.45,9.43,9.27,10.61
3/27/2019 1:30,9.33,9.40,9.29,10.62
3/27/2019 2:30,9.54,9.48,9.25,10.62
3/27/2019 3:30,9.66,9.49,9.22,10.63
3/27/2019 4:30,9.54,9.49,9.19,10.62
3/27/2019 5:30,9.60,9.48,9.15,10.62
3/27/2019 6:30,9.57,9.41,9.09,10.63
3/27/2019 7:30,9.51,9.33,9.12,10.62
3/27/2019 8:30,9.50,9.32,9.03,10.61
3/27/2019 9:30,9.50,9.36,9.13,10.62
3/27/2019 10:30,9.41,9.35,9.32,10.64
3/27/2019 11:30,9.39,9.37,9.41,10.64
3/27/2019 12:30,9.33,9.30,9.32,10.65
3/27/2019 13:30,9.31,9.27,9.26,10.66
3/27/2019 14:30,9.31,9.27,9.29,10.66
3/27/2019 15:30,9.33,9.30,9.30,10.66
3/27/2019 16:30,9.32,9.31,9.34,10.66
3/27/2019 17:30,9.33,9.31,9.31,10.65
3/27/2019 18:30,9.35,9.30,9.29,10.65
3/27/2019 19:30,9.37,9.33,9.33,10.64
3/27/2019 20:30,9.42,9.34,9.34,10.64
3/27/2019 21:30,9.44,9.35,9.31,10.66
3/27/2019 22:30,9.50,9.41,9.18,10.66
3/27/2019 23:30,9.48,9.41,9.39,10.66
3/28/2019 0:30,9.47,9.42,9.40,10.66
3/28/2019 1:30,9.48,9.44,9.42,10.66
3/28/2019 2:30,9.46,9.44,9.47,10.68
3/28/2019 3:30,9.44,9.42,9.48,10.68
3/28/2019 4:30,9.41,9.40,9.42,10.68
3/28/2019 5:30,9.38,9.35,9.37,10.67
3/28/2019 6:30,9.34,9.32,9.32,10.66
3/28/2019 7:30,9.32,9.29,9.29,10.66
3/28/2019 8:30,9.30,9.27,9.26,10.66
3/28/2019 9:30,9.26,9.23,9.23,10.66
3/28/2019 10:30,9.25,9.22,9.23,10.66
3/28/2019 11:30,9.22,9.19,9.20,10.66
3/28/2019 12:30,9.18,9.16,9.15,10.66
3/28/2019 13:30,9.15,9.14,9.16,10.66
3/28/2019 14:30,9.14,9.11,9.11,10.66
3/28/2019 15:30,9.14,9.12,9.14,10.66
3/28/2019 16:30,9.13,9.13,9.14,10.66
3/28/2019 17:30,9.16,9.09,9.06,10.67
3/28/2019 18:30,9.18,9.14,9.08,10.68
3/28/2019 19:30,9.18,9.16,9.19,10.68
3/28/2019 20:30,9.17,9.14,9.14,10.65
3/28/2019 21:30,9.19,9.15,9.15,10.65
3/28/2019 22:30,9.19,9.16,9.10,10.65
3/28/2019 23:30,9.22,9.18,9.03,10.66
3/29/2019 0:30,9.22,9.16,9.05,10.66
3/29/2019 1:30,9.22,9.19,9.04,10.67
3/29/2019 2:30,9.22,9.21,9.01,10.68
3/29/2019 3:30,9.30,9.21,9.04,10.68
3/29/2019 4:30,9.34,9.23,9.02,10.69
3/29/2019 5:30,9.33,9.30,9.13,10.68
3/29/2019 6:30,9.31,9.25,9.25,10.67
3/29/2019 7:30,9.30,9.27,9.26,10.67
3/29/2019 8:30,9.29,9.26,9.18,10.67
3/29/2019 9:30,9.28,9.25,9.25,10.67
3/29/2019 10:30,9.26,9.23,9.20,10.67
3/29/2019 11:30,9.24,9.22,9.20,10.67
3/29/2019 12:30,9.22,9.19,9.16,10.67
3/29/2019 13:30,9.19,9.15,9.11,10.67
3/29/2019 14:30,9.20,9.16,9.12,10.68
3/29/2019 15:30,9.18,9.14,9.09,10.68
3/29/2019 16:30,9.17,9.14,9.12,10.67
3/29/2019 17:30,9.12,9.09,9.03,10.66
3/29/2019 18:30,9.11,9.07,9.00,10.66
3/29/2019 19:30,9.10,9.04,8.98,10.65
3/29/2019 20:30,9.10,9.05,8.97,10.65
