Date,Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Max Height
Hourly data,Surface,7,6,5,4,3,2,1,0.5,(m)
3/23/2019 3:32,10.72,10.52,10.13,9.83,9.60,9.24,9.23,9.20,9.06,11.10
3/23/2019 4:32,10.88,10.68,10.44,10.23,9.97,9.52,9.32,9.16,9.08,11.10
3/23/2019 5:32,10.88,10.68,10.59,10.44,10.13,9.64,9.45,9.30,9.16,11.10
3/23/2019 6:32,10.79,10.59,10.48,10.34,10.01,9.68,9.40,9.08,9.08,11.09
3/23/2019 7:32,10.84,10.64,10.64,10.32,9.83,9.45,9.17,9.11,9.10,11.09
3/23/2019 8:32,10.88,10.68,10.63,10.58,10.20,9.63,9.44,9.13,9.11,11.09
3/23/2019 9:32,10.87,10.67,10.58,10.52,10.18,9.57,9.14,9.11,9.09,11.09
3/23/2019 10:32,10.76,10.56,10.49,10.46,10.43,10.03,9.39,9.14,9.12,11.10
3/23/2019 11:32,10.84,10.64,10.61,10.46,10.34,10.28,9.75,9.16,9.15,11.10
3/23/2019 12:32,11.04,10.84,10.62,10.52,10.49,10.29,10.11,9.25,9.15,11.11
3/23/2019 13:32,10.93,10.73,10.61,10.49,10.36,10.20,10.12,9.29,9.17,11.11
3/23/2019 14:32,11.04,10.84,10.77,10.61,10.41,10.33,10.27,10.21,9.45,11.11
3/23/2019 15:32,10.98,10.78,10.74,10.73,10.67,10.49,10.30,10.23,9.97,11.10
3/23/2019 16:32,10.98,10.78,10.75,10.66,10.47,10.37,10.31,10.21,10.13,11.10
3/23/2019 17:32,11.00,10.80,10.81,10.76,10.66,10.58,10.45,10.24,10.15,11.09
3/23/2019 18:32,11.05,10.85,10.83,10.74,10.67,10.59,10.32,10.25,10.13,11.09
3/23/2019 19:32,11.21,11.01,10.90,10.82,10.80,10.69,10.61,10.40,10.29,11.09
3/23/2019 20:32,11.35,11.15,11.02,10.90,10.77,10.72,10.48,10.31,10.26,11.08
3/23/2019 21:32,11.50,11.30,11.28,11.16,11.05,10.81,10.69,10.48,10.46,11.08
3/23/2019 22:32,11.49,11.29,11.29,11.15,11.08,10.94,10.92,10.53,10.48,11.09
3/23/2019 23:32,11.45,11.25,11.24,11.14,11.18,10.87,10.76,10.40,10.21,11.08
