Date,Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Max Height
Hourly data,Surface,6.00,5.00,4.00,3.00,2.00,1.00,0.50,(m)
3/23/2019 0:30,11.11,10.91,10.91,10.91,10.91,10.83,10.75,10.73,9.50
3/23/2019 1:30,11.09,10.89,10.89,10.88,10.86,10.86,10.79,10.77,9.50
3/23/2019 2:30,11.03,10.83,10.83,10.83,10.83,10.83,10.83,10.82,9.49
3/23/2019 3:30,11.03,10.83,10.83,10.84,10.83,10.83,10.83,10.83,9.49
3/23/2019 4:30,11.01,10.81,10.81,10.81,10.81,10.81,10.81,10.81,9.50
3/23/2019 5:30,10.95,10.75,10.75,10.75,10.74,10.75,10.74,10.74,9.49
3/23/2019 6:30,10.91,10.71,10.72,10.72,10.71,10.71,10.69,10.69,9.49
3/23/2019 7:30,10.91,10.71,10.70,10.67,10.67,10.62,10.59,10.58,9.49
3/23/2019 8:30,10.89,10.69,10.68,10.67,10.61,10.58,10.54,10.53,9.48
3/23/2019 9:30,10.87,10.67,10.66,10.63,10.60,10.58,10.53,10.51,9.49
3/23/2019 10:30,10.88,10.68,10.65,10.63,10.62,10.62,10.62,10.55,9.49
3/23/2019 11:30,10.86,10.66,10.65,10.65,10.64,10.64,10.62,10.60,9.49
3/23/2019 12:30,10.85,10.65,10.65,10.65,10.65,10.65,10.64,10.64,9.50
3/23/2019 13:30,10.81,10.61,10.61,10.60,10.60,10.60,10.60,10.59,9.50
3/23/2019 14:30,10.77,10.57,10.57,10.57,10.58,10.58,10.58,10.58,9.49
3/23/2019 15:30,10.79,10.59,10.59,10.59,10.59,10.57,10.57,10.57,9.49
3/23/2019 16:30,10.80,10.60,10.60,10.60,10.59,10.59,10.58,10.57,9.48
3/23/2019 17:30,10.79,10.59,10.59,10.58,10.58,10.58,10.57,10.56,9.48
3/23/2019 18:30,10.87,10.67,10.59,10.57,10.57,10.56,10.56,10.56,9.48
3/23/2019 19:30,11.46,11.26,11.02,10.97,10.83,10.81,10.65,10.64,9.48
3/23/2019 20:30,11.61,11.41,11.06,10.86,10.74,10.49,10.39,10.40,9.47
3/23/2019 21:30,11.92,11.72,11.31,10.85,10.75,10.61,10.16,10.13,9.47
3/23/2019 22:30,11.79,11.59,11.29,11.18,10.79,10.68,10.53,10.04,9.49
3/23/2019 23:30,11.75,11.55,11.37,11.31,11.13,10.93,10.10,10.01,9.47
3/24/2019 0:30,11.70,11.50,11.52,11.41,11.36,11.31,10.96,10.03,9.48
3/24/2019 1:30,11.73,11.53,11.51,11.50,11.47,11.37,10.47,10.02,9.49
3/24/2019 2:30,11.74,11.54,11.55,11.54,11.50,11.43,10.07,10.00,9.48
3/24/2019 3:30,11.68,11.48,11.48,11.48,11.47,11.43,11.20,10.04,9.48
3/24/2019 4:30,11.66,11.46,11.47,11.47,11.45,11.44,11.35,10.26,9.49
3/24/2019 5:30,11.62,11.42,11.42,11.43,11.43,11.35,10.95,10.16,9.49
3/24/2019 6:30,11.58,11.38,11.40,11.40,11.40,11.24,11.03,10.10,9.47
3/24/2019 7:30,11.59,11.39,11.39,11.40,11.39,11.31,10.82,10.10,9.47
3/24/2019 8:30,11.60,11.40,11.40,11.39,11.37,11.25,10.98,10.11,9.46
3/24/2019 9:30,11.56,11.36,11.37,11.36,11.33,11.19,10.87,10.11,9.46
3/24/2019 10:30,11.52,11.32,11.32,11.32,11.29,11.24,10.81,10.34,9.46
3/24/2019 11:30,11.49,11.29,11.29,11.27,11.26,11.24,10.89,10.52,9.46
3/24/2019 12:30,11.45,11.25,11.26,11.26,11.24,11.19,10.94,10.62,9.46
3/24/2019 13:30,11.44,11.24,11.24,11.24,11.24,11.23,11.00,10.81,9.46
3/24/2019 14:30,11.40,11.20,11.20,11.21,11.20,11.20,10.85,10.67,9.46
3/24/2019 15:30,11.38,11.18,11.18,11.18,11.18,11.18,11.18,10.46,9.45
3/24/2019 16:30,11.38,11.18,11.17,11.17,11.16,11.15,11.13,10.77,9.45
