Date,Height (m),Height (m),Height (m),Height (m),Height (m),Height (m),Max Height
Hourly data,Surface,4,3,2,1,0.5,(m)
3/23/2019 2:32,10.91,10.71,10.71,10.70,10.70,10.68,8.00
3/23/2019 3:32,10.95,10.75,10.74,10.73,10.72,10.71,8.00
3/23/2019 4:32,10.92,10.72,10.73,10.71,10.68,10.65,8.00
3/23/2019 5:32,10.82,10.62,10.62,10.61,10.61,10.61,8.00
3/23/2019 6:32,10.82,10.62,10.61,10.61,10.60,10.60,8.00
3/23/2019 7:32,10.78,10.58,10.57,10.57,10.56,10.56,7.98
3/23/2019 8:32,10.85,10.65,10.65,10.61,10.55,10.53,7.99
3/23/2019 9:32,10.84,10.64,10.60,10.59,10.58,10.57,7.99
3/23/2019 10:32,10.80,10.60,10.60,10.59,10.59,10.57,7.99
3/23/2019 11:32,10.91,10.71,10.70,10.63,10.57,10.55,7.99
3/23/2019 12:32,10.89,10.69,10.64,10.59,10.52,10.48,8.00
3/23/2019 13:32,10.98,10.78,10.77,10.71,10.64,10.57,8.00
3/23/2019 14:32,10.97,10.77,10.73,10.64,10.51,10.42,8.00
3/23/2019 15:32,10.94,10.74,10.73,10.70,10.47,10.43,7.99
3/23/2019 16:32,10.97,10.77,10.72,10.64,10.45,10.42,7.98
3/23/2019 17:32,10.98,10.78,10.73,10.65,10.46,10.44,7.98
3/23/2019 18:32,10.95,10.75,10.67,10.57,10.46,10.46,7.98
3/23/2019 19:32,10.98,10.78,10.62,10.45,10.43,10.43,7.97
3/23/2019 20:32,11.14,10.94,10.52,10.37,10.37,10.37,7.96
3/23/2019 21:32,11.27,11.07,10.88,10.42,10.35,10.34,7.97
3/23/2019 22:32,11.53,11.33,10.98,10.75,10.45,10.35,7.96
3/23/2019 23:32,11.36,11.16,11.01,10.92,10.66,10.45,7.97
3/24/2019 0:32,11.42,11.22,11.20,11.06,10.88,10.60,7.97
3/24/2019 1:32,11.39,11.19,11.15,11.09,11.00,10.63,7.99
3/24/2019 2:32,11.33,11.13,11.08,11.06,10.91,10.62,7.98
3/24/2019 3:32,11.34,11.14,11.13,11.09,11.01,10.82,7.99
3/24/2019 4:32,11.34,11.14,11.12,11.11,11.08,10.87,7.99
3/24/2019 5:32,11.35,11.15,11.14,11.08,10.97,10.73,7.98
3/24/2019 6:32,11.35,11.15,11.07,11.02,10.83,10.78,7.98
3/24/2019 7:32,11.31,11.11,11.08,10.96,10.87,10.79,7.97
3/24/2019 8:32,11.31,11.11,11.05,10.94,10.86,10.81,7.96
3/24/2019 9:32,11.28,11.08,10.99,10.92,10.87,10.80,7.96
3/24/2019 10:32,11.28,11.08,10.97,10.91,10.84,10.80,7.96
3/24/2019 11:32,11.25,11.05,10.96,10.89,10.81,10.77,7.96
3/24/2019 12:32,11.23,11.03,10.97,10.88,10.83,10.77,7.96
3/24/2019 13:32,11.23,11.03,10.99,10.91,10.81,10.79,7.96
3/24/2019 14:32,11.21,11.01,10.99,10.94,10.81,10.78,7.96
3/24/2019 15:32,11.21,11.01,10.98,10.94,10.79,10.77,7.95
3/24/2019 16:32,11.21,11.01,10.99,10.92,10.79,10.77,7.95
3/24/2019 17:32,11.22,11.02,11.00,10.94,10.83,10.77,7.94
3/24/2019 18:32,11.23,11.03,11.00,10.94,10.83,10.76,7.94
3/24/2019 19:32,11.41,11.21,11.12,10.94,10.82,10.76,7.94
3/24/2019 20:32,11.44,11.24,11.18,11.10,10.83,10.80,7.94
3/24/2019 21:32,11.43,11.23,11.22,11.19,11.02,10.82,7.94
3/24/2019 22:32,11.46,11.26,11.27,11.22,10.93,10.90,7.94
3/24/2019 23:32,11.52,11.32,11.33,11.30,11.22,11.04,7.94
3/25/2019 0:32,11.55,11.35,11.35,11.35,11.35,11.14,7.94
3/25/2019 1:32,11.55,11.35,11.35,11.34,11.35,11.31,7.95
3/25/2019 2:32,11.55,11.35,11.35,11.35,11.31,11.22,7.95
3/25/2019 3:32,11.55,11.35,11.35,11.35,11.34,11.24,7.95
3/25/2019 4:32,11.54,11.34,11.34,11.34,11.30,11.27,7.95
3/25/2019 5:32,11.58,11.38,11.38,11.36,11.22,11.19,7.94
3/25/2019 6:32,11.53,11.33,11.33,11.33,11.33,11.32,7.94
3/25/2019 7:32,11.54,11.34,11.34,11.34,11.34,11.34,7.92
3/25/2019 8:32,11.54,11.34,11.33,11.32,11.32,11.32,7.93
3/25/2019 9:32,11.55,11.35,11.35,11.35,11.35,11.35,7.93
3/25/2019 10:32,11.52,11.32,11.32,11.32,11.32,11.32,7.92
3/25/2019 11:32,11.51,11.31,11.32,11.32,11.32,11.31,7.93
3/25/2019 12:32,11.49,11.29,11.29,11.29,11.29,11.29,7.93
3/25/2019 13:32,11.45,11.25,11.25,11.25,11.26,11.25,7.95
3/25/2019 14:32,11.42,11.22,11.21,11.22,11.22,11.21,7.96
3/25/2019 15:32,11.41,11.21,11.20,11.20,11.20,11.20,7.94
3/25/2019 16:32,11.40,11.20,11.20,11.20,11.20,11.20,7.95
3/25/2019 17:32,11.35,11.15,11.15,11.15,11.14,11.13,7.94
3/25/2019 18:32,11.32,11.12,11.13,11.12,11.13,11.12,7.95
3/25/2019 19:32,11.37,11.17,11.16,11.15,11.14,11.13,7.95
3/25/2019 20:32,11.39,11.19,11.19,11.18,11.17,11.15,7.93
3/25/2019 21:32,11.42,11.22,11.21,11.20,11.17,11.16,7.94
3/25/2019 22:32,11.42,11.22,11.21,11.19,11.19,11.18,7.93
3/25/2019 23:32,11.49,11.29,11.24,11.19,11.18,11.16,7.94
3/26/2019 0:32,11.51,11.31,11.24,11.20,11.14,11.13,7.94
3/26/2019 1:32,11.44,11.24,11.21,11.19,11.12,11.09,7.94
3/26/2019 2:32,11.45,11.25,11.23,11.22,11.19,11.16,7.95
3/26/2019 3:32,11.40,11.20,11.19,11.19,11.16,11.13,7.94
3/26/2019 4:32,11.39,11.19,11.19,11.18,11.17,11.12,7.95
3/26/2019 5:32,11.38,11.18,11.18,11.18,11.18,11.15,7.94
3/26/2019 6:32,11.35,11.15,11.15,11.15,11.15,11.15,7.94
